,^HSI
1,0.9895044498933819
2,0.9940915629397755
3,0.9861807713148529
4,0.9866357987392945
5,0.9808451873711131
6,0.9731743352447931
7,0.9614727529305367
8,0.9963834626914548
9,1.006445815774804
10,0.9991198644955814
11,0.9954178572681593
12,0.9956853771396719
13,0.977867774039755
14,0.9706215427076718
15,0.9593250897580337
16,0.958178993696472
17,0.9502736596718425
18,0.9408089138205933
19,0.9661387088097365
20,
21,
22,0.9421557909695326
23,0.9463189732942895
24,0.9378861858320652
25,0.9281023168264547
26,0.9388725007439952
27,0.9220360212307279
28,0.9072056605548616
29,0.8964739450668698
30,0.8925683254759945
31,0.8928267669303479
32,0.8623617234399815
33,0.8581120359665442
34,0.8609594808380078
35,0.8537949799235928
36,
37,
38,0.8502160819227488
39,0.8373723370750523
40,0.8126670621993656
41,0.7945271567783956
42,0.7883280666064546
43,0.7736047088674339
44,0.782978158028686
45,0.7841681738812077
46,0.7984081683482444
47,0.7793714180083611
48,0.7684648600293594
49,0.7652031951047882
50,0.7165644777610156
51,0.7158516944046651
52,0.7230302336327876
53,0.7282352622979253
54,0.701571550270463
55,0.6932620442410693
56,0.7295252605018617
57,0.7470798381689071
58,0.724060203969352
59,0.7628439988182969
60,0.7833661946511888
61,0.781544201833294
62,0.7721607959233533
63,0.7590631078880391
64,0.8178121198920784
