Security,Unnamed: 1,Imputed Share Price,Prev Shares,Current Shares,Change (Percent),Prev Value (USD x1000),Current Value (USD x1000),Change (Percent).1,symbol
"UPS / United Parcel Service, Inc. - Class B",,173.84,59400.0,59400,0.0,9595.0,10326,7.62,UPS
"LSXMA / Liberty Media, Sirius XM Group Series A",,39.31,20207680.0,20207680,0.0,769307.0,794364,3.26,LSXMA
TMUS / T-Mobile US Inc,,140.0,5242000.0,5242000,0.0,703319.0,733880,4.35,TMUS
"MMC / Marsh & McLennan Cos., Inc.",,165.48,404911.0,404911,0.0,60449.0,67005,10.84,MMC
V / Visa Inc - Class A,,207.76,8297460.0,8297460,0.0,1474044.0,1723880,16.95,V
GL / Globe Life Inc,,120.55,6353727.0,6353727,0.0,633467.0,765942,20.91,GL
KHC / Kraft Heinz Co,,40.71,325634818.0,325634818,0.0,10859921.0,13256593,22.07,KHC
VRSN / Verisign Inc.,,205.44,12815613.0,12815613,0.0,2226072.0,2632840,18.27,VRSN
JNJ / Johnson & Johnson,,176.65,327100.0,327100,0.0,53435.0,57782,8.14,JNJ
LBRDA / Liberty Broadband Corp - Series A,,339.1,3828941.0,3828941,0.0,1161509.0,1298394,11.79,LBRDA
VOO / Vanguard 500 Index Fund,,351.34,43000.0,43000,0.0,14117.0,15108,7.01,VOO
NU HLDGS LTD / ORD SHS CL A (G6693N103),,,107118784.0,0,-100.0,471323.0,0,,NU HLDGS LTD
MA / Mastercard Incorporated - Class A,,347.73,3986648.0,3986648,0.0,1133563.0,1386277,22.29,MA
RH / RH - Class A,,267.19,2360000.0,2360000,0.0,580724.0,630568,8.58,RH
LILA / Liberty Latin America Ltd - Class A,,7.53,2630792.0,2630792,0.0,16285.0,19810,21.64,LILA
KR / Kroger Co.,,44.58,50268823.0,50000000,-0.53,2199260.0,2229000,1.35,KR
"LSXMK / Liberty Media, Sirius XM Group Series C",,39.13,43208291.0,43208291,0.0,1629386.0,1690740,3.77,LSXMK
GM / General Motors Company,,33.64,50000000.0,50000000,0.0,1604500.0,1682000,4.83,GM
"FWONK / Liberty Media, Formula One Group Series C",,59.78,7722451.0,7722451,0.0,451764.0,461648,2.19,FWONK
FND / Floor & Decor Holdings Inc - Class A,,69.63,4780000.0,4780000,0.0,335843.0,332831,-0.9,FND
LILAK / Liberty Latin America Ltd - Class C,,7.6,1284020.0,1284020,0.0,7897.0,9759,23.57,LILAK
MDLZ / Mondelez International Inc. - Class A,,66.65,578000.0,578000,0.0,31692.0,38524,21.55,MDLZ
SPY / SPDR S&P 500 ETF Trust,,382.43,39400.0,39400,0.0,14073.0,15068,7.06,SPY
BK / Bank Of New York Mellon Corp,,45.52,62210878.0,25069867,-59.7,2396364.0,1141180,-52.38,BK
AAPL / Apple Inc,,129.93,894802319.0,895136175,0.04,123661679.0,116305043,-5.95,AAPL
CVX / Chevron Corp.,,179.49,165359318.0,162975771,-1.44,23757173.0,29252521,23.13,CVX
STNE / StoneCo Ltd - Class A,,9.44,10695448.0,10695448,0.0,101928.0,100965,-0.94,STNE
SNOW / Snowflake Inc - Class A,,143.54,6125376.0,6125376,0.0,1041069.0,879236,-15.54,SNOW
MCK / Mckesson Corporation,,375.12,3198344.0,2855514,-10.72,1087021.0,1071160,-1.46,MCK
TSM / Taiwan Semiconductor Manufacturing - ADR,,74.49,60060880.0,8292724,-86.19,4117774.0,617725,-85.0,TSM
USB / U.S. Bancorp,,43.61,77788214.0,6670835,-91.42,3136420.0,290915,-90.72,USB
ATVI / Activision Blizzard Inc,,76.55,60141866.0,52717075,-12.35,4470946.0,4035492,-9.74,ATVI
DVA / DaVita Inc,,74.67,36095570.0,36095570,0.0,2987630.0,2695256,-9.79,DVA
PARA / Paramount Global - Class B,,16.88,91216510.0,93637189,2.65,1736763.0,1580596,-8.99,PARA
ALLY / Ally Financial Inc,,24.45,30000000.0,29800000,-0.67,834901.0,728610,-12.73,ALLY
HPQ / HP Inc,,26.87,104476035.0,104476035,0.0,2603542.0,2807271,7.83,HPQ
OXY / Occidental Petroleum Corp.,,62.99,194351650.0,194351650,0.0,11942909.0,12242210,2.51,OXY
AXP / American Express Co.,,147.75,151610700.0,151610700,0.0,20453800.0,22400481,9.52,AXP
BAC / Bank Of America Corp.,,33.12,1010100606.0,1010100606,0.0,30505039.0,33454532,9.67,BAC
C / Citigroup Inc,,45.23,55155797.0,55155797,0.0,2298341.0,2494697,8.54,C
CE / Celanese Corp - Series A,,102.24,9710183.0,9710183,0.0,877219.0,992769,13.17,CE
MCO / Moody's Corporation,,278.62,24669778.0,24669778,0.0,5997470.0,6873494,14.61,MCO
JEF / Jefferies Group Inc,,34.28,433558.0,433558,0.0,12790.0,14862,16.2,JEF
PG / Procter & Gamble Co.,,151.56,315400.0,315400,0.0,39819.0,47802,20.05,PG
AON / Aon plc. - Class A,,300.14,4396000.0,4396000,0.0,1177556.0,1319415,12.05,AON
KO / Coca Cola Co.,,63.61,400000000.0,400000000,0.0,22407999.0,25444000,13.55,KO
MKL / Markel Corp,,1317.49,467611.0,467611,0.0,506993.0,616073,21.51,MKL
NU / Nu Holdings Ltd Class A,,4.07,,107118784,,,435973,,NU
LPX / Louisiana-Pacific Corp.,,59.2,5795906.0,7044909,21.55,296692.0,417059,40.57,LPX
AMZN / Amazon.com Inc.,,84.0,10666000.0,10666000,0.0,1205258.0,895944,-25.66,AMZN
