Date,^HSI
2021-06-07,28787.279296875
2021-06-08,28781.380859375
2021-06-09,28742.630859375
2021-06-10,28738.880859375
2021-06-11,28842.130859375
2021-06-15,28638.529296875
2021-06-16,28436.83984375
2021-06-17,28558.58984375
2021-06-18,28801.26953125
2021-06-21,28489.0
2021-06-22,28309.759765625
2021-06-23,28817.0703125
2021-06-24,28882.4609375
2021-06-25,29288.220703125
2021-06-28,29268.30078125
2021-06-29,28994.099609375
2021-06-30,28827.94921875
2021-07-02,28310.419921875
2021-07-05,28143.5
2021-07-06,28072.859375
2021-07-07,27960.619140625
2021-07-08,27153.130859375
2021-07-09,27344.5390625
2021-07-12,27515.240234375
2021-07-13,27963.41015625
2021-07-14,27787.4609375
2021-07-15,27996.26953125
2021-07-16,28004.6796875
2021-07-19,27489.779296875
2021-07-20,27259.25
2021-07-21,27224.580078125
2021-07-22,27723.83984375
2021-07-23,27321.98046875
2021-07-26,26192.3203125
2021-07-27,25086.4296875
2021-07-28,25473.880859375
2021-07-29,26315.3203125
2021-07-30,25961.029296875
2021-08-02,26235.80078125
2021-08-03,26194.8203125
2021-08-04,26426.55078125
2021-08-05,26204.689453125
2021-08-06,26179.400390625
2021-08-09,26283.400390625
2021-08-10,26605.619140625
2021-08-11,26660.16015625
2021-08-12,26517.8203125
2021-08-13,26391.619140625
2021-08-16,26181.4609375
2021-08-17,25745.869140625
2021-08-18,25867.009765625
2021-08-19,25316.330078125
2021-08-20,24849.720703125
2021-08-23,25109.58984375
2021-08-24,25727.919921875
2021-08-25,25693.94921875
2021-08-26,25415.689453125
2021-08-27,25407.890625
2021-08-30,25539.5390625
2021-08-31,25878.990234375
2021-09-01,26028.2890625
2021-09-02,26090.4296875
2021-09-03,25901.990234375
